city,aqi,category,color_code
Phoenix-Mesa-Scottsdale,38.78132832080201,Good,green
Bishop,27.90750915750916,Good,green
San Luis Obispo-Paso Robles,22.32905982905983,Good,green
SAN LUIS OBISPO,16.132478632478634,Good,green
Red Bluff,23.397435897435898,Good,green
Washington-Arlington-Alexandria,11.660825545171344,Good,green
Miami-Fort Lauderdale-Miami Beach,33.72043010752689,Good,green
BENEWAH,30.7449494949495,Good,green
Clarksville,14.583333333333334,Good,green
Baton Rouge,22.115384615384617,Good,green
Shreveport-Bossier City,31.7948717948718,Good,green
Lake Charles,28.18693693693694,Good,green
New Orleans-Metairie-Kenner,17.73492907801419,Good,green
Lafayette,19.614197530864203,Good,green
Houma-Bayou Cane-Thibodaux,45.13888888888889,Good,green
Hattiesburg,31.58564814814815,Good,green
Columbia,30.603448275862075,Good,green
St. Joseph,28.321078431372552,Good,green
Kansas City,25.54640718562875,Good,green
CEDAR,22.48774509803922,Good,green
Springfield,13.070570570570574,Good,green
GREENE,22.190170940170937,Good,green
IRON,25.0189393939394,Good,green
St. Louis,24.567901234567902,Good,green
LINCOLN,35.41666666666668,Good,green
PERRY,24.77941176470588,Good,green
ST. LOUIS,10.277777777777779,Good,green
ST. LOUIS (CITY),20.24509803921569,Good,green
Reno-Sparks,27.731092436974794,Good,green
Albuquerque,27.5316091954023,Good,green
Asheville,11.324786324786325,Good,green
Fayetteville,22.311827956989248,Good,green
Thomasville-Lexington,18.269230769230774,Good,green
Durham,17.33333333333334,Good,green
Rocky Mount,8.564814814814815,Good,green
Winston-Salem,16.356837606837605,Good,green
Greensboro-High Point,4.6568627450980395,Good,green
Raleigh-Cary,19.387905604719766,Good,green
MARTIN,45.22727272727273,Good,green
Charlotte-Gastonia-Concord,14.921171171171173,Good,green
MITCHELL,16.414141414141415,Good,green
MONTGOMERY,23.77873563218391,Good,green
Wilmington,18.910256410256412,Good,green
NORTHAMPTON,19.144144144144146,Good,green
Greenville,21.621794871794872,Good,green
Salisbury,13.513513513513516,Good,green
SWAIN,2.4572649572649574,Good,green
COOS,18.981481481481474,Good,green
Gettysburg,13.258547008547007,Good,green
Pittsburgh,26.20279947916667,Good,green
Reading,10.801282051282051,Good,green
Altoona,9.32692307692308,Good,green
BRADFORD,12.446581196581201,Good,green
Philadelphia-Camden-Wilmington,13.121438746438747,Good,green
Johnstown,16.634615384615383,Good,green
State College,10.534188034188034,Good,green
Harrisburg-Carlisle,11.169871794871796,Good,green
Erie,9.604700854700859,Good,green
Scranton--Wilkes-Barre,12.136752136752136,Good,green
Lancaster,14.03846153846154,Good,green
Allentown-Bethlehem-Easton,14.401709401709404,Good,green
Youngstown-Warren-Boardman,25.09488448844884,Good,green
TIOGA,10.88675213675214,Good,green
WASHINGTON,26.772260273972602,Good,green
York-Hanover,13.029279279279281,Good,green
Nashville-Davidson--Murfreesboro,28.652343750000004,Good,green
LEBANON,11.602564102564104,Good,green
LYCOMING,11.602564102564102,Good,green
SUSQUEHANNA,9.903846153846155,Good,green
WYOMING,11.292735042735044,Good,green
Birmingham-Hoover,21.780575539568346,Good,green
Anchorage,20.026881720430108,Good,green
Fairbanks,15.591397849462366,Good,green
JUNEAU,14.919354838709678,Good,green
MATANUSKA-SUSITNA,11.96236559139785,Good,green
LA PAZ,15.064102564102566,Good,green
PINAL,65.94583394997781,Moderate,yellow
Nogales,36.111111111111114,Good,green
Yuma,37.361111111111114,Good,green
