city,aqi,category,color_code
Phoenix-Mesa-Scottsdale,33.406361735141296,Good,green
Bishop,8.703045462524127,Good,green
San Luis Obispo-Paso Robles,15.96428571428572,Good,green
SAN LUIS OBISPO,29.362837413684872,Good,green
BANNOCK,9.642184557438794,Good,green
Jackson,24.73646723646723,Good,green
St. Joseph,7.87037037037037,Good,green
Kansas City,11.790780141843971,Good,green
Springfield,6.018518518518518,Good,green
Joplin,8.618233618233619,Good,green
St. Louis,6.267806267806268,Good,green
MONROE,4.594017094017095,Good,green
ST. LOUIS (CITY),9.084757834757836,Good,green
LYON,121.50440771349861,Unhealthy for Sensitive Groups,orange
Reno-Sparks,15.170093000489477,Good,green
Fayetteville,6.858129315756434,Good,green
Durham,6.952291274325173,Good,green
Winston-Salem,6.313559322033901,Good,green
Greensboro-High Point,4.237288135593221,Good,green
Raleigh-Cary,7.344632768361582,Good,green
Kinston,3.656622724419335,Good,green
Charlotte-Gastonia-Concord,5.373677248677249,Good,green
Wilmington,6.768675455116134,Good,green
Greenville,5.162037037037037,Good,green
WASHINGTON,8.55379188712522,Good,green
Birmingham-Hoover,12.87037037037037,Good,green
Anchorage,6.613756613756614,Good,green
Fairbanks,24.404761904761905,Good,green
JUNEAU,0.6393298059964727,Good,green
MATANUSKA-SUSITNA,2.2707231040564375,Good,green
Sierra Vista-Douglas,38.0842151675485,Good,green
Payson,16.104497354497354,Good,green
LA PAZ,10.60405643738977,Good,green
MARICOPA,22.91446208112874,Good,green
Lake Havasu City-Kingman,5.842151675485009,Good,green
PIMA,25.049603174603174,Good,green
Tucson,18.98148148148148,Good,green
PINAL,39.97962076909443,Good,green
Nogales,56.03198653198653,Moderate,yellow
Yuma,21.472663139329807,Good,green
BUTTE,8.129629629629632,Good,green
CALAVERAS,28.674603174603167,Good,green
COLUSA,7.086056644880175,Good,green
Sacramento--Arden-Arcade--Roseville,23.194003527336864,Good,green
FRESNO,62.59313131313131,Moderate,yellow
GLENN,3.0317460317460325,Good,green
