city,aqi,category,color_code
San Luis Obispo-Paso Robles,28.59375,Good,green
SAN LUIS OBISPO,30.88888888888889,Good,green
Washington-Arlington-Alexandria,31.0814455231931,Good,green
BENEWAH,45.745614035087726,Good,green
Clarksville,16.379310344827587,Good,green
Baton Rouge,27.272727272727277,Good,green
Shreveport-Bossier City,39.24242424242425,Good,green
Lake Charles,38.577044025157235,Good,green
New Orleans-Metairie-Kenner,24.709715639810426,Good,green
Lafayette,27.09722222222223,Good,green
Houma-Bayou Cane-Thibodaux,29.621212121212125,Good,green
BOLIVAR,23.016666666666673,Good,green
Hattiesburg,25.02403846153846,Good,green
Gulfport-Biloxi,28.21601941747572,Good,green
Jackson,38.322851153039835,Good,green
Columbia,27.22517730496455,Good,green
St. Joseph,61.71617839149097,Moderate,yellow
Kansas City,66.21047025040912,Moderate,yellow
CEDAR,55.0751549833095,Moderate,yellow
Springfield,44.86033519553073,Good,green
GREENE,47.61111111111112,Good,green
IRON,20.350877192982463,Good,green
St. Louis,45.9155328798186,Good,green
LINCOLN,76.23605150214591,Moderate,yellow
PERRY,44.13978494623657,Good,green
ST. LOUIS,11.819727891156463,Good,green
ST. LOUIS (CITY),54.14983309489748,Moderate,yellow
Montgomery,33.66898148148149,Good,green
Birmingham-Hoover,36.33673469387755,Good,green
Mobile,52.699006098938334,Moderate,yellow
Decatur,48.650497512437816,Good,green
Columbus,43.60696517412935,Good,green
SUMTER,25.386904761904766,Good,green
Anchorage,51.175965665236056,Moderate,yellow
Fairbanks,43.48072562358277,Good,green
JUNEAU,12.318840579710145,Good,green
MATANUSKA-SUSITNA,20.153061224489797,Good,green
LA PAZ,15.136054421768709,Good,green
Phoenix-Mesa-Scottsdale,26.12907088122606,Good,green
PINAL,34.04255319148936,Good,green
Nogales,31.377551020408166,Good,green
Yuma,35.28911564625851,Good,green
Memphis,28.114035087719298,Good,green
POLK,31.471088435374153,Good,green
Little Rock-North Little Rock,28.22916666666667,Good,green
Fayetteville-Springdale-Rogers,51.54828326180257,Moderate,yellow
San Francisco-Oakland-Fremont,38.172043010752695,Good,green
Chico,45.22058823529412,Good,green
BUTTE,38.02816901408451,Good,green
CALAVERAS,46.42857142857143,Good,green
COLUSA,49.198717948717956,Good,green
Sacramento--Arden-Arcade--Roseville,32.58705007824726,Good,green
FRESNO,45.339233038348084,Good,green
GLENN,42.38095238095238,Good,green
Bishop,43.38541666666668,Good,green
Bakersfield,37.096774193548384,Good,green
KERN,13.541666666666668,Good,green
Los Angeles-Long Beach-Santa Ana,32.605474198047425,Good,green
MARIPOSA,31.666666666666668,Good,green
MENDOCINO,45.56737588652482,Good,green
Ukiah,56.96995708154507,Moderate,yellow
MONO,31.46683673469388,Good,green
Salinas,22.695707070707073,Good,green
MONTEREY,31.70289855072464,Good,green
Napa,34.60648148148148,Good,green
RIVERSIDE,13.575268817204304,Good,green
Riverside-San Bernardino-Ontario,29.720085470085472,Good,green
San Jose-Sunnyvale-Santa Clara,38.54166666666667,Good,green
San Diego-Carlsbad-San Marcos,10.661040787623067,Good,green
Stockton,56.68562231759657,Moderate,yellow
Santa Barbara-Santa Maria,27.834699453551917,Good,green
Santa Cruz-Watsonville,34.92857142857143,Good,green
Redding,32.402210884353735,Good,green
SISKIYOU,39.03061224489796,Good,green
Vallejo-Fairfield,38.41575091575091,Good,green
Modesto,55.521459227467815,Moderate,yellow
Yuba City,38.095238095238095,Good,green
TRINITY,48.40425531914894,Good,green
Visalia-Porterville,37.69097222222222,Good,green
Oxnard-Thousand Oaks-Ventura,21.279149519890264,Good,green
Denver-Aurora,25.61416184971098,Good,green
Boulder,25.30952380952381,Good,green
Colorado Springs,26.85714285714286,Good,green
GARFIELD,11.70343137254902,Good,green
LARIMER,21.48809523809524,Good,green
Grand Junction,21.060606060606062,Good,green
PITKIN,29.404761904761905,Good,green
RIO BLANCO,28.125000000000004,Good,green
Greeley,33.295454545454554,Good,green
Bridgeport-Stamford-Norwalk,44.71938775510204,Good,green
Hartford-West Hartford-East Hartford,37.23639455782313,Good,green
Torrington,32.41496598639456,Good,green
MIDDLESEX,27.873563218390807,Good,green
New Haven-Milford,49.411231884057955,Good,green
Norwich-New London,45.93537414965987,Good,green
Dover,31.513605442176875,Good,green
Philadelphia-Camden-Wilmington,48.94981834695732,Good,green
NEW CASTLE,48.52040816326531,Good,green
Seaford,47.7465986394558,Good,green
WASHINGTON,58.31914444522621,Moderate,yellow
Salt Lake City,25.139802631578945,Good,green
Jacksonville,25.515350877192983,Good,green
