city,aqi,category,color_code
Birmingham-Hoover,11.696900982615269,Good,green
Anchorage,27.718988830099942,Good,green
Fairbanks,11.251402918069585,Good,green
JUNEAU,3.0864197530864197,Good,green
MATANUSKA-SUSITNA,13.77665544332211,Good,green
Sierra Vista-Douglas,58.65671870217325,Moderate,yellow
Payson,39.88496071829405,Good,green
GILA,51.4349556167738,Moderate,yellow
LA PAZ,22.22222222222222,Good,green
Phoenix-Mesa-Scottsdale,49.64142004153687,Good,green
MARICOPA,46.08585858585859,Good,green
Lake Havasu City-Kingman,15.460157126823793,Good,green
PIMA,48.92710170487948,Good,green
PINAL,59.954031108632336,Moderate,yellow
Nogales,49.4388327721661,Good,green
Yuma,37.008978675645345,Good,green
BUTTE,29.764957264957264,Good,green
CALAVERAS,15.886752136752136,Good,green
COLUSA,30.28490028490029,Good,green
Sacramento--Arden-Arcade--Roseville,23.015873015873016,Good,green
FRESNO,31.06837606837607,Good,green
GLENN,32.863247863247864,Good,green
HUMBOLDT,21.464646464646467,Good,green
El Centro,37.51721272554606,Good,green
Bishop,17.02373500260824,Good,green
Bakersfield,36.171652421652425,Good,green
Los Angeles-Long Beach-Santa Ana,32.22292368125701,Good,green
Madera,32.50661375661375,Good,green
MENDOCINO,16.44219977553311,Good,green
MONO,11.69285447063225,Good,green
MONTEREY,35.53639846743295,Good,green
RIVERSIDE,37.89842873176206,Good,green
Riverside-San Bernardino-Ontario,37.98540965207632,Good,green
San Jose-Sunnyvale-Santa Clara,21.93287037037037,Good,green
SAN BERNARDINO,26.402918069584736,Good,green
Stockton,33.68386243386243,Good,green
SAN JOAQUIN,35.27116402116402,Good,green
San Luis Obispo-Paso Robles,16.617525346575626,Good,green
SAN LUIS OBISPO,13.31908831908832,Good,green
Santa Barbara-Santa Maria,22.94472502805836,Good,green
Modesto,38.92450142450143,Good,green
Yuba City,21.784188034188038,Good,green
Visalia-Porterville,41.77706552706553,Good,green
Oxnard-Thousand Oaks-Ventura,29.145299145299145,Good,green
Denver-Aurora,26.753257887517155,Good,green
DENVER,33.76424501424501,Good,green
