city,aqi,category,color_code
Birmingham-Hoover,16.646825396825395,Good,green
Anchorage,8.851410934744269,Good,green
Fairbanks,30.34060846560847,Good,green
JUNEAU,9.13923182441701,Good,green
MATANUSKA-SUSITNA,8.167989417989418,Good,green
Sierra Vista-Douglas,26.231812169312168,Good,green
GILA,16.05489417989418,Good,green
Payson,22.197855750487328,Good,green
LA PAZ,9.408068783068783,Good,green
Phoenix-Mesa-Scottsdale,30.87969771241828,Good,green
MARICOPA,23.073025856044726,Good,green
Lake Havasu City-Kingman,27.425925925925927,Good,green
PIMA,28.93105158730159,Good,green
Tucson,15.277777777777779,Good,green
PINAL,40.9471879286694,Good,green
Nogales,55.21590909090909,Moderate,yellow
Yuma,40.922619047619044,Good,green
BUTTE,26.710648148148145,Good,green
CALAVERAS,17.52484191508581,Good,green
COLUSA,18.663053297199642,Good,green
Sacramento--Arden-Arcade--Roseville,19.45423065341765,Good,green
FRESNO,43.326558265582655,Good,green
GLENN,22.775519421860892,Good,green
HUMBOLDT,17.989417989417987,Good,green
El Centro,35.76353815937148,Good,green
Bishop,9.75439725439725,Good,green
Bakersfield,52.83937044867279,Moderate,yellow
Los Angeles-Long Beach-Santa Ana,25.562510867675197,Good,green
Madera,49.936868686868685,Good,green
MARIPOSA,8.848238482384822,Good,green
MENDOCINO,12.566137566137566,Good,green
MONO,6.312830687830688,Good,green
MONTEREY,20.70230607966457,Good,green
Riverside-San Bernardino-Ontario,29.829575952764323,Good,green
RIVERSIDE,27.82308904649331,Good,green
San Jose-Sunnyvale-Santa Clara,18.072089947089946,Good,green
SAN BERNARDINO,16.550925925925927,Good,green
Stockton,25.229044834307995,Good,green
SAN JOAQUIN,35.652356902356914,Good,green
San Luis Obispo-Paso Robles,15.691955396256473,Good,green
SAN LUIS OBISPO,15.476190476190478,Good,green
Santa Barbara-Santa Maria,19.654437456324246,Good,green
Modesto,37.308039747064136,Good,green
Yuba City,18.543360433604335,Good,green
Visalia-Porterville,55.32537570830254,Moderate,yellow
Oxnard-Thousand Oaks-Ventura,33.449074074074076,Good,green
Denver-Aurora,33.9577687443541,Good,green
Bridgeport-Stamford-Norwalk,27.285052910052904,Good,green
Hartford-West Hartford-East Hartford,27.06597222222222,Good,green
Torrington,15.968915343915336,Good,green
New Haven-Milford,26.36243386243387,Good,green
Norwich-New London,18.278769841269845,Good,green
WASHINGTON,14.467592592592593,Good,green
Jacksonville,16.225236864771755,Good,green
Palm Bay-Melbourne-Titusville,14.857881136950901,Good,green
DUVAL,18.359173126614994,Good,green
Tampa-St. Petersburg-Clearwater,20.795304232804217,Good,green
HILLSBOROUGH,18.921682098765427,Good,green
Lakeland,17.644272179155905,Good,green
PUTNAM,13.733850129198963,Good,green
Sarasota-Bradenton-Venice,16.07019810508182,Good,green
Macon,13.63425925925926,Good,green
Savannah,20.13888888888889,Good,green
Atlanta-Sandy Springs-Marietta,22.556584362139922,Good,green
Warner Robins,15.694444444444446,Good,green
Valdosta,11.533564814814815,Good,green
Augusta-Richmond County,9.375,Good,green
Honolulu,13.15128688010044,Good,green
Boise City-Nampa,20.047949735449738,Good,green
Pocatello,18.303571428571427,Good,green
BANNOCK,14.75308641975308,Good,green
BONNER,14.587700908455625,Good,green
SHOSHONE,5.753968253968254,Good,green
CLARK,19.064153439153447,Good,green
Chicago-Naperville-Joliet,15.482026143790868,Good,green
St. Louis,7.460826210826212,Good,green
Davenport-Moline-Rock Island,15.906084656084655,Good,green
Indianapolis,26.388888888888893,Good,green
BROWN,12.694830246913586,Good,green
Louisville,24.810267857142883,Good,green
MONTGOMERY,14.814814814814815,Good,green
Dodge City,6.058201058201059,Good,green
Kansas City,11.018921095008054,Good,green
NEOSHO,13.597883597883595,Good,green
Wichita,10.243882275132275,Good,green
Topeka,10.254629629629628,Good,green
SHERMAN,7.48346560846561,Good,green
TREGO,10.37367724867725,Good,green
JEFFERSON,23.568121693121693,Good,green
AROOSTOOK,25.712250712250714,Good,green
Boston-Cambridge-Quincy,16.752645502645507,Good,green
Springfield,6.74827369742624,Good,green
Detroit-Warren-Livonia,13.247354497354493,Good,green
Minneapolis-St. Paul-Bloomington,12.144510582010582,Good,green
HENNEPIN,15.156823490156825,Good,green
RAMSEY,24.735449735449738,Good,green
Jackson,16.49717514124295,Good,green
St. Joseph,9.698681732580038,Good,green
Joplin,7.6428123038292535,Good,green
MONROE,6.559949780288763,Good,green
ST. LOUIS (CITY),18.254865034526052,Good,green
FERGUS,6.210478771454381,Good,green
FLATHEAD,11.950904392764858,Good,green
LINCOLN,12.876830318690784,Good,green
MISSOULA,5.254091300602929,Good,green
PHILLIPS,12.855297157622738,Good,green
POWDER RIVER,8.650793650793652,Good,green
RICHLAND,4.431216931216931,Good,green
ROSEBUD,4.697380307136405,Good,green
SANDERS,14.34056007226739,Good,green
SILVER BOW,23.083548664944015,Good,green
Omaha-Council Bluffs,11.393762183235868,Good,green
Las Vegas-Paradise,32.66925527678212,Good,green
ELKO,9.474590869939707,Good,green
LYON,59.04540404040403,Moderate,yellow
NYE,14.048721340388006,Good,green
Reno-Sparks,12.95998677248677,Good,green
Manchester-Nashua,8.143187830687829,Good,green
ROCKINGHAM,15.636574074074073,Good,green
New York-Northern New Jersey-Long Island,22.719907407407405,Good,green
