city,aqi,category,color_code
Birmingham-Hoover,31.777263374485596,Good,green
Anchorage,8.333333333333334,Good,green
Fairbanks,4.089506172839506,Good,green
JUNEAU,3.0864197530864197,Good,green
MATANUSKA-SUSITNA,6.327160493827161,Good,green
Sierra Vista-Douglas,24.961419753086417,Good,green
Payson,31.86728395061728,Good,green
GILA,23.688271604938272,Good,green
LA PAZ,11.11111111111111,Good,green
Phoenix-Mesa-Scottsdale,42.78772060651255,Good,green
MARICOPA,31.48919753086419,Good,green
Lake Havasu City-Kingman,20.524691358024693,Good,green
PIMA,34.60648148148148,Good,green
PINAL,45.8503086419753,Good,green
Nogales,82.88299663299664,Moderate,yellow
Yuma,44.75308641975309,Good,green
HUMBOLDT,30.709876543209873,Good,green
El Centro,28.560753736192332,Good,green
Bishop,16.803118908382068,Good,green
Los Angeles-Long Beach-Santa Ana,29.618055555555557,Good,green
MONO,17.232510288065846,Good,green
MONTEREY,16.89814814814815,Good,green
Riverside-San Bernardino-Ontario,36.21913580246914,Good,green
RIVERSIDE,39.660493827160494,Good,green
Sacramento--Arden-Arcade--Roseville,20.795610425240053,Good,green
San Jose-Sunnyvale-Santa Clara,10.87962962962963,Good,green
SAN BERNARDINO,15.200617283950619,Good,green
San Luis Obispo-Paso Robles,16.32969034608379,Good,green
SAN LUIS OBISPO,35.18518518518518,Good,green
Santa Barbara-Santa Maria,22.685185185185187,Good,green
Oxnard-Thousand Oaks-Ventura,25.925925925925927,Good,green
Bridgeport-Stamford-Norwalk,28.140432098765434,Good,green
Hartford-West Hartford-East Hartford,17.743055555555554,Good,green
Torrington,5.58641975308642,Good,green
New Haven-Milford,19.837962962962965,Good,green
Norwich-New London,12.353395061728392,Good,green
WASHINGTON,45.833333333333336,Good,green
Tampa-St. Petersburg-Clearwater,21.953703703703706,Good,green
HILLSBOROUGH,17.247474747474747,Good,green
Macon,12.79320987654321,Good,green
Athens-Clarke County,20.296296296296294,Good,green
Atlanta-Sandy Springs-Marietta,20.810185185185183,Good,green
Augusta-Richmond County,20.810185185185183,Good,green
Gainesville,27.523148148148152,Good,green
Warner Robins,28.287037037037038,Good,green
Boise City-Nampa,42.73148148148148,Good,green
Pocatello,21.944444444444443,Good,green
BANNOCK,28.31196581196581,Good,green
BONNER,26.666666666666668,Good,green
SHOSHONE,32.12962962962963,Good,green
CLARK,47.28956228956229,Good,green
Indianapolis,25.046296296296298,Good,green
BROWN,35.120370370370374,Good,green
Louisville,16.892361111111114,Good,green
Chicago-Naperville-Joliet,46.35030864197531,Good,green
Omaha-Council Bluffs,57.033670033670035,Moderate,yellow
MONTGOMERY,18.447293447293447,Good,green
Davenport-Moline-Rock Island,51.74242424242424,Moderate,yellow
Dodge City,4.344135802469135,Good,green
Kansas City,55.40397452788758,Moderate,yellow
NEOSHO,42.02932098765433,Good,green
Wichita,42.581018518518526,Good,green
Topeka,71.10319865319866,Moderate,yellow
SHERMAN,26.26543209876543,Good,green
TREGO,36.68981481481482,Good,green
Cincinnati-Middletown,13.695987654320987,Good,green
JEFFERSON,16.180555555555554,Good,green
AROOSTOOK,17.59259259259259,Good,green
Minneapolis-St. Paul-Bloomington,42.39969135802469,Good,green
HENNEPIN,58.21801346801347,Moderate,yellow
RAMSEY,52.649831649831654,Moderate,yellow
Jackson,31.46686159844055,Good,green
Columbia,21.75925925925926,Good,green
St. Joseph,65.7584940312213,Moderate,yellow
Springfield,27.104377104377104,Good,green
Joplin,37.794612794612796,Good,green
St. Louis,27.184343434343436,Good,green
LINCOLN,35.39094650205761,Good,green
MONROE,32.996632996633,Good,green
ST. LOUIS (CITY),32.81986531986532,Good,green
Las Vegas-Paradise,19.381944444444443,Good,green
LYON,40.17094017094017,Good,green
Reno-Sparks,21.167273831208256,Good,green
Manchester-Nashua,4.729938271604938,Good,green
Boston-Cambridge-Quincy,18.711419753086414,Good,green
ROCKINGHAM,13.287037037037038,Good,green
Albuquerque,29.85472541507024,Good,green
Las Cruces,29.243827160493826,Good,green
Deming,37.808641975308646,Good,green
Farmington,6.018518518518518,Good,green
Fayetteville,22.435897435897434,Good,green
Durham,13.425925925925926,Good,green
Winston-Salem,13.012820512820515,Good,green
Greensboro-High Point,22.364672364672366,Good,green
Raleigh-Cary,20.655270655270655,Good,green
Kinston,7.193732193732194,Good,green
Charlotte-Gastonia-Concord,15.918803418803419,Good,green
Wilmington,9.266381766381766,Good,green
Greenville,20.37037037037037,Good,green
Cleveland-Elyria-Mentor,18.44907407407408,Good,green
Oklahoma City,27.18621399176955,Good,green
Ardmore,22.685185185185187,Good,green
Lawton,19.212962962962962,Good,green
Tulsa,43.3641975308642,Good,green
DEWEY,18.98148148148148,Good,green
Ponca City,39.27469135802469,Good,green
McAlester,17.052469135802472,Good,green
TULSA,34.65277777777778,Good,green
JACKSON,16.72558922558923,Good,green
PHILADELPHIA,14.174382716049385,Good,green
Charleston-North Charleston,22.12962962962963,Good,green
BROOKINGS,30.532407407407415,Good,green
CODINGTON,52.4436026936027,Moderate,yellow
CUSTER,14.220679012345679,Good,green
Rapid City,25.484006734006737,Good,green
UNION,40.75617283950618,Good,green
El Paso,33.47993827160494,Good,green
Madison,52.78181818181818,Moderate,yellow
DODGE,42.92438271604938,Good,green
EAU CLAIRE,22.993827160493822,Good,green
Milwaukee-Waukesha-West Allis,68.31292087542087,Moderate,yellow
MILWAUKEE,57.12087542087542,Moderate,yellow
Baraboo,30.686728395061728,Good,green
INYO,14.745370370370368,Good,green
DELTA,2.7777777777777777,Good,green
SOMERSET,8.665123456790123,Good,green
WORCESTER,10.231481481481481,Good,green
Sioux Falls,0.6558641975308642,Good,green
N/A,57.780808080808086,Moderate,yellow
BUTTE,29.876543209876548,Good,green
CALAVERAS,19.958847736625515,Good,green
COLUSA,22.623456790123456,Good,green
FRESNO,35.08230452674897,Good,green
GLENN,26.090534979423868,Good,green
Bakersfield,33.59567901234568,Good,green
MARIPOSA,15.802469135802468,Good,green
Stockton,16.203703703703702,Good,green
Modesto,31.213991769547324,Good,green
Yuba City,17.613168724279838,Good,green
Visalia-Porterville,42.69547325102881,Good,green
Denver-Aurora,23.078703703703702,Good,green
LARIMER,20.879629629629626,Good,green
Jacksonville,13.915343915343914,Good,green
Palm Bay-Melbourne-Titusville,16.080246913580243,Good,green
DUVAL,13.84920634920635,Good,green
Lakeland,15.771604938271603,Good,green
PUTNAM,10.543981481481481,Good,green
Sarasota-Bradenton-Venice,14.4238683127572,Good,green
Honolulu,9.430727023319616,Good,green
FERGUS,22.839506172839506,Good,green
FLATHEAD,28.978052126200275,Good,green
MISSOULA,15.534979423868313,Good,green
PHILLIPS,14.711934156378602,Good,green
POWDER RIVER,69.68434343434343,Moderate,yellow
RICHLAND,11.316872427983538,Good,green
ROSEBUD,54.71212121212121,Moderate,yellow
SANDERS,28.29218106995885,Good,green
SILVER BOW,26.74897119341564,Good,green
ELKO,46.41203703703704,Good,green
NYE,20.105820105820108,Good,green
New York-Northern New Jersey-Long Island,14.2989417989418,Good,green
Kennewick-Richland-Pasco,21.70781893004115,Good,green
Spokane,30.37722908093279,Good,green
STEVENS,19.238683127572017,Good,green
Walla Walla,38.68312757201646,Good,green
Yakima,21.81069958847737,Good,green
CONVERSE,19.444444444444443,Good,green
Riverton,14.660493827160494,Good,green
Cheyenne,9.074074074074074,Good,green
Sheridan,27.023809523809522,Good,green
SUBLETTE,9.25925925925926,Good,green
Rock Springs,12.962962962962964,Good,green
SWEETWATER,5.787037037037037,Good,green
DUNN,25.720164609053498,Good,green
Madera,30.111111111111107,Good,green
SAN JOAQUIN,20.833333333333332,Good,green
Valdosta,23.98148148148148,Good,green
JOHNSON,8.796296296296296,Good,green
