c_low,c_high,unit,duration_hr,parameter
0,12,μg/m3,24,pm25
12.1,35.4,μg/m3,24,pm25
35.5,55.4,μg/m3,24,pm25
55.5,150.4,μg/m3,24,pm25
150.5,250.4,μg/m3,24,pm25
250.5,350.4,μg/m3,24,pm25
350.5,500.4,μg/m3,24,pm25
